GISJOIN,Year,State,STATEA,COUNTYA,AREANAME,BlackPop,State_code
G540,1950,West Virginia,540,,West Virginia,115270,WV
G550,1950,Wisconsin,550,,Wisconsin,41885,WI
G560,1950,Wyoming,560,,Wyoming,6520,WY
G010,1960,Alabama,10,,Alabama,983131,AL
G020,1960,Alaska,20,,Alaska,51621,AK
G040,1960,Arizona,40,,Arizona,132644,AZ
G050,1960,Arkansas,50,,Arkansas,390569,AR
G060,1960,California,60,,California,1261974,CA
G080,1960,Colorado,80,,Colorado,53247,CO
G090,1960,Connecticut,90,,Connecticut,111418,CT
G100,1960,Delaware,100,,Delaware,61965,DE
G110,1960,District Of Columbia,110,,District of Columbia,418693,#N/A
G120,1960,Florida,120,,Florida,887679,FL
G130,1960,Georgia,130,,Georgia,1125893,GA
G150,1960,Hawaii,150,,Hawaii,430542,HI
G160,1960,Idaho,160,,Idaho,9808,ID
G170,1960,Illinois,170,,Illinois,1070906,IL
G180,1960,Indiana,180,,Indiana,273944,IN
G190,1960,Iowa,190,,Iowa,28828,IA
G200,1960,Kansas,200,,Kansas,99945,KS
G210,1960,Kentucky,210,,Kentucky,218073,KY
G220,1960,Louisiana,220,,Louisianna,1045307,LA
G230,1960,Maine,230,,Maine,5974,ME
G240,1960,Maryland,240,,Maryland,526770,MD
G250,1960,Massachusetts,250,,Massachusetts,125434,MA
G260,1960,Michigan,260,,Michigan,737329,MI
G270,1960,Minnesota,270,,Minnesota,42261,MN
G280,1960,Mississippi,280,,Mississippi,920595,MS
G290,1960,Missouri,290,,Missouri,396846,MO
G300,1960,Montana,300,,Montana,24029,MT
G310,1960,Nebraska,310,,Nebraska,36566,NE
G320,1960,Nevada,320,,Nevada,21835,NV
G330,1960,New Hampshire,330,,New Hampshire,2587,NH
G340,1960,New Jersey,340,,New Jersey,527779,NJ
G350,1960,New Mexico,350,,New Mexico,75260,NM
G360,1960,New York,360,,New York,1495233,NY
G370,1960,North Carolina,370,,North Carolina,1156870,NC
G380,1960,North Dakota,380,,North Dakota,12908,ND
G390,1960,Ohio,390,,Ohio,796699,OH
G400,1960,Oklahoma,400,,Oklahoma,220384,OK
G410,1960,Oregon,410,,Oregon,36650,OR
G420,1960,Pennsylvania,420,,Pennsylvania,865362,PA
G440,1960,Rhode Island,440,,Rhode Island,20776,RI
G450,1960,South Carolina,450,,South Carolina,831572,SC
G460,1960,South Dakota,460,,South Dakota,27416,SD
G470,1960,Tennessee,470,,Tennessee,589336,TN
G480,1960,Texas,480,,Texas,1204846,TX
G490,1960,Utah,490,,Utah,16799,UT
G500,1960,Vermont,500,,Vermont,789,VT
G510,1960,Virginia,510,,Virginia,824506,VA
G530,1960,Washington,530,,Washington,101539,WA
G540,1960,West Virginia,540,,West Virginia,90288,WV
G550,1960,Wisconsin,550,,Wisconsin,92874,WI
G560,1960,Wyoming,560,,Wyoming,7144,WY
G010,1970,Alabama,1,,Alabama,908247,AL
G020,1970,Alaska,2,,Alaska,8911,AK
G040,1970,Arizona,4,,Arizona,53344,AZ
G050,1970,Arkansas,5,,Arkansas,357225,AR
G060,1970,California,6,,California,1400143,CA
G080,1970,Colorado,8,,Colorado,66411,CO
G090,1970,Connecticut,9,,Connecticut,181177,CT
G100,1970,Delaware,10,,Delaware,78276,DE
G110,1970,District Of Columbia,11,,District Of Columbia,537712,#N/A
G120,1970,Florida,12,,Florida,1049578,FL
G130,1970,Georgia,13,,Georgia,1190779,GA
G150,1970,Hawaii,15,,Hawaii,7573,HI
G160,1970,Idaho,16,,Idaho,2130,ID
G170,1970,Illinois,17,,Illinois,1425674,IL
G180,1970,Indiana,18,,Indiana,357464,IN
G190,1970,Iowa,19,,Iowa,32596,IA
G200,1970,Kansas,20,,Kansas,106977,KS
G210,1970,Kentucky,21,,Kentucky,241292,KY
G220,1970,Louisiana,22,,Louisiana,1088734,LA
G230,1970,Maine,23,,Maine,2800,ME
G240,1970,Maryland,24,,Maryland,701341,MD
G250,1970,Massachusetts,25,,Massachusetts,175817,MA
G260,1970,Michigan,26,,Michigan,991066,MI
G270,1970,Minnesota,27,,Minnesota,34868,MN
G280,1970,Mississippi,28,,Mississippi,815770,MS
G290,1970,Missouri,29,,Missouri,480172,MO
G300,1970,Montana,30,,Montana,1995,MT
G310,1970,Nebraska,31,,Nebraska,39911,NE
G320,1970,Nevada,32,,Nevada,27762,NV
G330,1970,New Hampshire,33,,New Hampshire,2505,NH
G340,1970,New Jersey,34,,New Jersey,770292,NJ
G350,1970,New Mexico,35,,New Mexico,19555,NM
G360,1970,New York,36,,New York,2168949,NY
G370,1970,North Carolina,37,,North Carolina,1137664,NC
G380,1970,North Dakota,38,,North Dakota,2494,ND
G390,1970,Ohio,39,,Ohio,970477,OH
G400,1970,Oklahoma,40,,Oklahoma,177907,OK
G410,1970,Oregon,41,,Oregon,26308,OR
G420,1970,Pennsylvania,42,,Pennsylvania,1016514,PA
G440,1970,Rhode Island,44,,Rhode Island,25338,RI
G450,1970,South Carolina,45,,South Carolina,789041,SC
G460,1970,South Dakota,46,,South Dakota,1627,SD
G470,1970,Tennessee,47,,Tennessee,631696,TN
G480,1970,Texas,48,,Texas,1419677,TX
G490,1970,Utah,49,,Utah,6617,UT
G500,1970,Vermont,50,,Vermont,761,VT
G510,1970,Virginia,51,,Virginia,865388,VA
G530,1970,Washington,53,,Washington,71308,WA
G540,1970,West Virginia,54,,West Virginia,73931,WV
G550,1970,Wisconsin,55,,Wisconsin,128224,WI
G560,1970,Wyoming,56,,Wyoming,2568,WY
G010,1980,Alabama,1,,Alabama,995623,AL
G020,1980,Alaska,2,,Alaska,13619,AK
G040,1980,Arizona,4,,Arizona,75034,AZ
G050,1980,Arkansas,5,,Arkansas,373192,AR
G060,1980,California,6,,California,1819282,CA
G080,1980,Colorado,8,,Colorado,101702,CO
G090,1980,Connecticut,9,,Connecticut,217433,CT
G100,1980,Delaware,10,,Delaware,95971,DE
G110,1980,District Of Columbia,11,,District Of Columbia,448229,#N/A
G120,1980,Florida,12,,Florida,1342478,FL
G130,1980,Georgia,13,,Georgia,1465457,GA
G150,1980,Hawaii,15,,Hawaii,17352,HI
G160,1980,Idaho,16,,Idaho,2716,ID
G170,1980,Illinois,17,,Illinois,1675229,IL
G180,1980,Indiana,18,,Indiana,414732,IN
G190,1980,Iowa,19,,Iowa,41700,IA
G200,1980,Kansas,20,,Kansas,126127,KS
G210,1980,Kentucky,21,,Kentucky,259490,KY
G220,1980,Louisiana,22,,Louisiana,1237263,LA
G230,1980,Maine,23,,Maine,3128,ME
G240,1980,Maryland,24,,Maryland,958050,MD
G250,1980,Massachusetts,25,,Massachusetts,221279,MA
G260,1980,Michigan,26,,Michigan,1198710,MI
G270,1980,Minnesota,27,,Minnesota,53342,MN
G280,1980,Mississippi,28,,Mississippi,887206,MS
G290,1980,Missouri,29,,Missouri,514274,MO
G300,1980,Montana,30,,Montana,1786,MT
G310,1980,Nebraska,31,,Nebraska,48389,NE
G320,1980,Nevada,32,,Nevada,50791,NV
G330,1980,New Hampshire,33,,New Hampshire,3990,NH
G340,1980,New Jersey,34,,New Jersey,924786,NJ
G350,1980,New Mexico,35,,New Mexico,24042,NM
G360,1980,New York,36,,New York,2401842,NY
G370,1980,North Carolina,37,,North Carolina,1316050,NC
G380,1980,North Dakota,38,,North Dakota,2568,ND
G390,1980,Ohio,39,,Ohio,1076734,OH
G400,1980,Oklahoma,40,,Oklahoma,204658,OK
G410,1980,Oregon,41,,Oregon,37059,OR
G420,1980,Pennsylvania,42,,Pennsylvania,1047609,PA
G440,1980,Rhode Island,44,,Rhode Island,27584,RI
G450,1980,South Carolina,45,,South Carolina,948146,SC
G460,1980,South Dakota,46,,South Dakota,2144,SD
G470,1980,Tennessee,47,,Tennessee,725949,TN
G480,1980,Texas,48,,Texas,1710250,TX
G490,1980,Utah,49,,Utah,9225,UT
G500,1980,Vermont,50,,Vermont,1135,VT
G510,1980,Virginia,51,,Virginia,1008311,VA
G530,1980,Washington,53,,Washington,105544,WA
G540,1980,West Virginia,54,,West Virginia,65051,WV
G550,1980,Wisconsin,55,,Wisconsin,182593,WI
G560,1980,Wyoming,56,,Wyoming,3364,WY
G010,1990,Alabama,1,,Alabama,931342,AL
G020,1990,Alaska,2,,Alaska,19462,AK
G040,1990,Arizona,4,,Arizona,98776,AZ
G050,1990,Arkansas,5,,Arkansas,338319,AR
G060,1990,California,6,,California,1992772,CA
G080,1990,Colorado,8,,Colorado,117940,CO
G090,1990,Connecticut,9,,Connecticut,247688,CT
G100,1990,Delaware,10,,Delaware,102110,DE
G110,1990,District Of Columbia,11,,District of Columbia,371111,#N/A
G120,1990,Florida,12,,Florida,1578103,FL
G130,1990,Georgia,13,,Georgia,1579493,GA
G150,1990,Hawaii,15,,Hawaii,23371,HI
G160,1990,Idaho,16,,Idaho,3295,ID
G170,1990,Illinois,17,,Illinois,1534667,IL
G180,1990,Indiana,18,,Indiana,390705,IN
G190,1990,Iowa,19,,Iowa,42106,IA
G200,1990,Kansas,20,,Kansas,127428,KS
G210,1990,Kentucky,21,,Kentucky,239792,KY
G220,1990,Louisiana,22,,Louisiana,1171299,LA
G230,1990,Maine,23,,Maine,4535,ME
G240,1990,Maryland,24,,Maryland,1087449,MD
G250,1990,Massachusetts,25,,Massachusetts,267775,MA
G260,1990,Michigan,26,,Michigan,1165573,MI
G270,1990,Minnesota,27,,Minnesota,82365,MN
G280,1990,Mississippi,28,,Mississippi,828858,MS
G290,1990,Missouri,29,,Missouri,495666,MO
G300,1990,Montana,30,,Montana,1797,MT
G310,1990,Nebraska,31,,Nebraska,50987,NE
G320,1990,Nevada,32,,Nevada,69977,NV
G330,1990,New Hampshire,33,,New Hampshire,6313,NH
G340,1990,New Jersey,34,,New Jersey,948995,NJ
G350,1990,New Mexico,35,,New Mexico,26832,NM
G360,1990,New York,36,,New York,2617377,NY
G370,1990,North Carolina,37,,North Carolina,1330172,NC
G380,1990,North Dakota,38,,North Dakota,2946,ND
G390,1990,Ohio,39,,Ohio,1044362,OH
G400,1990,Oklahoma,40,,Oklahoma,210038,OK
G410,1990,Oregon,41,,Oregon,40584,OR
G420,1990,Pennsylvania,42,,Pennsylvania,989854,PA
G440,1990,Rhode Island,44,,Rhode Island,34003,RI
G450,1990,South Carolina,45,,South Carolina,945294,SC
G460,1990,South Dakota,46,,South Dakota,2684,SD
G470,1990,Tennessee,47,,Tennessee,705725,TN
G480,1990,Texas,48,,Texas,1830442,TX
G490,1990,Utah,49,,Utah,9746,UT
G500,1990,Vermont,50,,Vermont,1886,VT
G510,1990,Virginia,51,,Virginia,1063359,VA
G530,1990,Washington,53,,Washington,131916,WA
G540,1990,West Virginia,54,,West Virginia,51096,WV
G550,1990,Wisconsin,55,,Wisconsin,214242,WI
G560,1990,Wyoming,56,,Wyoming,2980,WY
G010,2000,Alabama,1,,Alabama,1155930,AL
G020,2000,Alaska,2,,Alaska,21787,AK
G040,2000,Arizona,4,,Arizona,158873,AZ
G050,2000,Arkansas,5,,Arkansas,418950,AR
G060,2000,California,6,,California,2263882,CA
G080,2000,Colorado,8,,Colorado,165063,CO
G090,2000,Connecticut,9,,Connecticut,309843,CT
G100,2000,Delaware,10,,Delaware,150666,DE
G110,2000,District Of Columbia,11,,District Of Columbia,343312,#N/A
G120,2000,Florida,12,,Florida,2335505,FL
G130,2000,Georgia,13,,Georgia,2349542,GA
G150,2000,Hawaii,15,,Hawaii,22003,HI
G160,2000,Idaho,16,,Idaho,5456,ID
G170,2000,Illinois,17,,Illinois,1876875,IL
G180,2000,Indiana,18,,Indiana,510034,IN
G190,2000,Iowa,19,,Iowa,61853,IA
G200,2000,Kansas,20,,Kansas,154198,KS
G210,2000,Kentucky,21,,Kentucky,295994,KY
G220,2000,Louisiana,22,,Louisiana,1451944,LA
G230,2000,Maine,23,,Maine,6760,ME
G240,2000,Maryland,24,,Maryland,1477411,MD
G250,2000,Massachusetts,25,,Massachusetts,343454,MA
G260,2000,Michigan,26,,Michigan,1412742,MI
G270,2000,Minnesota,27,,Minnesota,171731,MN
G280,2000,Mississippi,28,,Mississippi,1033809,MS
G290,2000,Missouri,29,,Missouri,629391,MO
G300,2000,Montana,30,,Montana,2692,MT
G310,2000,Nebraska,31,,Nebraska,68541,NE
G320,2000,Nevada,32,,Nevada,135477,NV
G330,2000,New Hampshire,33,,New Hampshire,9035,NH
G340,2000,New Jersey,34,,New Jersey,1141821,NJ
G350,2000,New Mexico,35,,New Mexico,34343,NM
G360,2000,New York,36,,New York,3014385,NY
G370,2000,North Carolina,37,,North Carolina,1737545,NC
G380,2000,North Dakota,38,,North Dakota,3916,ND
G390,2000,Ohio,39,,Ohio,1301307,OH
G400,2000,Oklahoma,40,,Oklahoma,260968,OK
G410,2000,Oregon,41,,Oregon,55662,OR
G420,2000,Pennsylvania,42,,Pennsylvania,1224612,PA
G440,2000,Rhode Island,44,,Rhode Island,46908,RI
G450,2000,South Carolina,45,,South Carolina,1185216,SC
G460,2000,South Dakota,46,,South Dakota,4685,SD
G470,2000,Tennessee,47,,Tennessee,932809,TN
G480,2000,Texas,48,,Texas,2404566,TX
G490,2000,Utah,49,,Utah,17657,UT
G500,2000,Vermont,50,,Vermont,3063,VT
G510,2000,Virginia,51,,Virginia,1390293,VA
G530,2000,Washington,53,,Washington,190267,WA
G540,2000,West Virginia,54,,West Virginia,57232,WV
G550,2000,Wisconsin,55,,Wisconsin,304460,WI
G560,2000,Wyoming,56,,Wyoming,3722,WY
G010,2010,Alabama,1,,Alabama,1262980,AL
G020,2010,Alaska,2,,Alaska,24711,AK
G040,2010,Arizona,4,,Arizona,264009,AZ
G050,2010,Arkansas,5,,Arkansas,464411,AR
G060,2010,California,6,,California,2246353,CA
G080,2010,Colorado,8,,Colorado,198117,CO
G090,2010,Connecticut,9,,Connecticut,356880,CT
G100,2010,Delaware,10,,Delaware,191626,DE
G110,2010,District Of Columbia,11,,District of Columbia,309221,#N/A
G120,2010,Florida,12,,Florida,2997377,FL
G130,2010,Georgia,13,,Georgia,2976758,GA
G150,2010,Hawaii,15,,Hawaii,20345,HI
G160,2010,Idaho,16,,Idaho,8871,ID
G170,2010,Illinois,17,,Illinois,1866145,IL
G180,2010,Indiana,18,,Indiana,587044,IN
G190,2010,Iowa,19,,Iowa,95190,IA
G200,2010,Kansas,20,,Kansas,164819,KS
G210,2010,Kentucky,21,,Kentucky,336561,KY
G220,2010,Louisiana,22,,Louisiana,1455478,LA
G230,2010,Maine,23,,Maine,15121,ME
G240,2010,Maryland,24,,Maryland,1701903,MD
G250,2010,Massachusetts,25,,Massachusetts,443271,MA
G260,2010,Michigan,26,,Michigan,1385311,MI
G270,2010,Minnesota,27,,Minnesota,273680,MN
G280,2010,Mississippi,28,,Mississippi,1109263,MS
G290,2010,Missouri,29,,Missouri,703257,MO
G300,2010,Montana,30,,Montana,4835,MT
G310,2010,Nebraska,31,,Nebraska,80630,NE
G320,2010,Nevada,32,,Nevada,216792,NV
G330,2010,New Hampshire,33,,New Hampshire,15448,NH
G340,2010,New Jersey,34,,New Jersey,1186144,NJ
G350,2010,New Mexico,35,,New Mexico,40588,NM
G360,2010,New York,36,,New York,3015272,NY
G370,2010,North Carolina,37,,North Carolina,2050395,NC
G380,2010,North Dakota,38,,North Dakota,8601,ND
G390,2010,Ohio,39,,Ohio,1412002,OH
G400,2010,Oklahoma,40,,Oklahoma,270132,OK
G410,2010,Oregon,41,,Oregon,70368,OR
G420,2010,Pennsylvania,42,,Pennsylvania,1376234,PA
G440,2010,Rhode Island,44,,Rhode Island,62822,RI
G450,2010,South Carolina,45,,South Carolina,1301988,SC
G460,2010,South Dakota,46,,South Dakota,10743,SD
G470,2010,Tennessee,47,,Tennessee,1066253,TN
G480,2010,Texas,48,,Texas,2970243,TX
G490,2010,Utah,49,,Utah,28701,UT
G500,2010,Vermont,50,,Vermont,6564,VT
G510,2010,Virginia,51,,Virginia,1569497,VA
G530,2010,Washington,53,,Washington,239112,WA
G540,2010,West Virginia,54,,West Virginia,57509,WV
G550,2010,Wisconsin,55,,Wisconsin,350438,WI
G560,2010,Wyoming,56,,Wyoming,4612,WY
G720,2010,Puerto Rico,72,,Puerto Rico,281915,#N/A
G010,2020,Alabama,,,Alabama,1313291,AL
G020,2020,Alaska,,,Alaska,27108,AK
G040,2020,Arizona,,,Arizona,376997,AZ
G050,2020,Arkansas,,,Arkansas,473048,AR
G060,2020,California,,,California,2552757,CA
G080,2020,Colorado,,,Colorado,264479,CO
G090,2020,Connecticut,,,Connecticut,434585,CT
G100,2020,Delaware,,,Delaware,225544,DE
G110,2020,District of Columbia,,,District of Columbia,324484,#N/A
G120,2020,Florida,,,Florida,3633515,FL
G130,2020,Georgia,,,Georgia,3458147,GA
G150,2020,Hawaii,,,Hawaii,30958,HI
G160,2020,Idaho,,,Idaho,16346,ID
G170,2020,Illinois,,,Illinois,1852516,IL
G180,2020,Indiana,,,Indiana,669596,IN
G190,2020,Iowa,,,Iowa,128105,IA
G200,2020,Kansas,,,Kansas,178725,KS
G210,2020,Kentucky,,,Kentucky,378479,KY
G220,2020,Louisiana,,,Louisiana,1524733,LA
G230,2020,Maine,,,Maine,22691,ME
G240,2020,Maryland,,,Maryland,1878645,MD
G250,2020,Massachusetts,,,Massachusetts,621902,MA
G260,2020,Michigan,,,Michigan,1407890,MI
G270,2020,Minnesota,,,Minnesota,395556,MN
G280,2020,Mississippi,,,Mississippi,1124559,MS
G290,2020,Missouri,,,Missouri,725579,MO
G300,2020,Montana,,,Montana,6389,MT
G310,2020,Nebraska,,,Nebraska,100763,NE
G320,2020,Nevada,,,Nevada,316303,NV
G330,2020,New Hampshire,,,New Hampshire,24371,NH
G340,2020,New Jersey,,,New Jersey,1337457,NJ
G350,2020,New Mexico,,,New Mexico,54772,NM
G360,2020,New York,,,New York,3421123,NY
G370,2020,North Carolina,,,North Carolina,2330563,NC
G380,2020,North Dakota,,,North Dakota,25984,ND
G390,2020,Ohio,,,Ohio,1525570,OH
G400,2020,Oklahoma,,,Oklahoma,307819,OK
G410,2020,Oregon,,,Oregon,93740,OR
G420,2020,Pennsylvania,,,Pennsylvania,1540092,PA
G440,2020,Rhode Island,,,Rhode Island,90108,RI
G450,2020,South Carolina,,,South Carolina,1388017,SC
G460,2020,South Dakota,,,South Dakota,20332,SD
G470,2020,Tennessee,,,Tennessee,1164461,TN
G480,2020,Texas,,,Texas,3739221,TX
G490,2020,Utah,,,Utah,47537,UT
G500,2020,Vermont,,,Vermont,8774,VT
G510,2020,Virginia,,,Virginia,1696911,VA
G530,2020,Washington,,,Washington,331924,WA
G540,2020,West Virginia,,,West Virginia,64610,WV
G550,2020,Wisconsin,,,Wisconsin,390543,WI
G560,2020,Wyoming,,,Wyoming,7467,WY
